month,stock,marketcap,rank,excess_returns
2000-09-29T00:00:00Z,PFE,282,5,0.033917466
2000-09-29T00:00:00Z,XOM,310,4,0.086783208
2000-09-29T00:00:00Z,MSFT,317,3,-0.141178906
2000-09-29T00:00:00Z,CSCO,388,2,-0.199999941
2000-09-29T00:00:00Z,GE,571,1,-0.018676222
2000-10-31T00:00:00Z,WMT,202,10,-0.062742731
2000-10-31T00:00:00Z,MRK,206,9,0.202629721
2000-10-31T00:00:00Z,AIG,226,8,0.018567482
2000-10-31T00:00:00Z,C,236,7,-0.032191709
2000-10-31T00:00:00Z,PFE,271,6,-0.04454331
2000-10-31T00:00:00Z,INTC,301,5,0.077107099
2000-10-31T00:00:00Z,XOM,310,4,-0.004898467
2000-10-31T00:00:00Z,MSFT,362,3,0.136368902
2000-10-31T00:00:00Z,CSCO,378,2,-0.03048694
2000-10-31T00:00:00Z,GE,543,1,-0.055437863
2000-11-30T00:00:00Z,MRK,213,10,0.025475695
2000-11-30T00:00:00Z,C,224,9,-0.056046898
2000-11-30T00:00:00Z,AIG,224,8,-0.015561267
2000-11-30T00:00:00Z,WMT,233,7,0.145037709
2000-11-30T00:00:00Z,INTC,254,6,-0.158898213
2000-11-30T00:00:00Z,PFE,278,5,0.023094447
2000-11-30T00:00:00Z,MSFT,301,4,-0.172069056
2000-11-30T00:00:00Z,XOM,305,3,-0.0135847
2000-11-30T00:00:00Z,CSCO,336,2,-0.11646848
2000-11-30T00:00:00Z,GE,491,1,-0.100881144
2000-12-29T00:00:00Z,INTC,202,10,-0.215180862
2000-12-29T00:00:00Z,MRK,215,9,0.008949215
2000-12-29T00:00:00Z,AIG,228,8,0.011763748
2000-12-29T00:00:00Z,C,229,7,0.020095944
2000-12-29T00:00:00Z,MSFT,231,6,-0.249008732
2000-12-29T00:00:00Z,WMT,237,5,0.014212475
2000-12-29T00:00:00Z,CSCO,268,4,-0.206044324
2000-12-29T00:00:00Z,PFE,290,3,0.033081119
2000-12-29T00:00:00Z,XOM,302,2,-0.017072648
2000-12-29T00:00:00Z,GE,475,1,-0.034574614
2001-01-31T00:00:00Z,AIG,196,10,-0.142800447
2001-01-31T00:00:00Z,TWX,227,9,0.504945353
2001-01-31T00:00:00Z,INTC,249,8,0.22536969
2001-01-31T00:00:00Z,WMT,253,7,0.063776348
2001-01-31T00:00:00Z,CSCO,269,6,-0.026641974
2001-01-31T00:00:00Z,PFE,284,5,-0.023878148
2001-01-31T00:00:00Z,C,284,4,0.090707073
2001-01-31T00:00:00Z,XOM,292,3,-0.037463559
2001-01-31T00:00:00Z,MSFT,325,2,0.402381067
2001-01-31T00:00:00Z,GE,455,1,-0.045818136
2001-02-28T00:00:00Z,MRK,184,10,-0.027892513
2001-02-28T00:00:00Z,AIG,189,9,-0.041238096
2001-02-28T00:00:00Z,TWX,190,8,-0.166090784
2001-02-28T00:00:00Z,INTC,192,7,-0.231395957
2001-02-28T00:00:00Z,WMT,223,6,-0.121934158
2001-02-28T00:00:00Z,C,250,5,-0.122922624
2001-02-28T00:00:00Z,XOM,281,4,-0.035615834
2001-02-28T00:00:00Z,PFE,283,3,-0.004696613
2001-02-28T00:00:00Z,MSFT,314,2,-0.037576926
2001-02-28T00:00:00Z,GE,460,1,0.007069477
2001-03-30T00:00:00Z,TWX,170,10,-0.092321722
2001-03-30T00:00:00Z,MRK,174,9,-0.05349224
2001-03-30T00:00:00Z,INTC,176,8,-0.082974058
2001-03-30T00:00:00Z,AIG,186,7,-0.020091868
2001-03-30T00:00:00Z,WMT,225,6,0.00544603
2001-03-30T00:00:00Z,C,229,5,-0.089601003
2001-03-30T00:00:00Z,PFE,258,4,-0.094200229
2001-03-30T00:00:00Z,XOM,279,3,-0.004816383
2001-03-30T00:00:00Z,MSFT,291,2,-0.07729338
2001-03-30T00:00:00Z,GE,415,1,-0.100789775
2001-04-30T00:00:00Z,AIG,189,10,0.012248498
2001-04-30T00:00:00Z,IBM,202,9,0.193232931
2001-04-30T00:00:00Z,INTC,207,8,0.170826109
2001-04-30T00:00:00Z,TWX,215,7,0.253883449
2001-04-30T00:00:00Z,WMT,231,6,0.020654735
2001-04-30T00:00:00Z,C,250,5,0.088806978
2001-04-30T00:00:00Z,PFE,273,4,0.053486713
2001-04-30T00:00:00Z,XOM,306,3,0.089926648
2001-04-30T00:00:00Z,MSFT,362,2,0.234957372
2001-04-30T00:00:00Z,GE,482,1,0.155441194
2001-05-31T00:00:00Z,INTC,181,10,-0.128798175
2001-05-31T00:00:00Z,AIG,188,9,-0.012530056
2001-05-31T00:00:00Z,IBM,194,8,-0.031055541
2001-05-31T00:00:00Z,TWX,222,7,0.03026509
2001-05-31T00:00:00Z,WMT,231,6,-0.003006952
2001-05-31T00:00:00Z,C,257,5,0.042391412
2001-05-31T00:00:00Z,PFE,264,4,-0.010226109
2001-05-31T00:00:00Z,XOM,306,3,0.003495649
2001-05-31T00:00:00Z,MSFT,372,2,0.017906868
2001-05-31T00:00:00Z,GE,486,1,0.006484449
2001-06-29T00:00:00Z,IBM,196,10,0.007934774
2001-06-29T00:00:00Z,INTC,196,9,0.080132359
2001-06-29T00:00:00Z,AIG,198,8,0.046705906
2001-06-29T00:00:00Z,WMT,218,7,-0.058479542
