month,stock,marketcap,rank,excess_returns
2019-01-31T00:00:00Z,HAL,27,78,0.177741011
2019-02-28T00:00:00Z,HAL,26,78,-0.023166069
2019-03-29T00:00:00Z,HAL,25,78,-0.041520007
2019-04-30T00:00:00Z,EBAY,33,78,0.041250594
2019-05-31T00:00:00Z,EBAY,31,78,-0.071307191
2019-06-28T00:00:00Z,EBAY,34,78,0.097561155
2019-07-31T00:00:00Z,EBAY,34,78,0.040883138
2019-08-30T00:00:00Z,HAL,16,78,-0.182469269
2019-09-30T00:00:00Z,HAL,16,78,0.008328631
2019-10-31T00:00:00Z,HAL,16,78,0.019723606
2019-11-29T00:00:00Z,FCX,16,78,0.157705084
2019-12-31T00:00:00Z,FCX,19,78,0.151483436
1999-12-31T00:00:00Z,SBUX,4,79,NA
2000-01-31T00:00:00Z,SPG,4,79,0.072227434
2000-02-29T00:00:00Z,CELG,3,79,1.368465943
2000-03-31T00:00:00Z,SPG,4,79,-0.007327135
2000-04-28T00:00:00Z,SPG,4,79,0.086525745
2000-05-31T00:00:00Z,SPG,4,79,-0.023335441
2000-06-30T00:00:00Z,PX,5,79,-0.109212587
2000-07-31T00:00:00Z,TJX,4,79,-0.111466145
2000-08-31T00:00:00Z,TJX,5,79,0.120675137
2000-09-29T00:00:00Z,PX,5,79,-0.157538431
2000-10-31T00:00:00Z,AAPL,6,79,-0.245887367
2000-11-30T00:00:00Z,PX,5,79,-0.040324523
2000-12-29T00:00:00Z,EOG,6,79,0.28219049
2001-06-29T00:00:00Z,NKE,7,79,0.021821612
2001-07-31T00:00:00Z,A,6,79,0.020647345
2001-08-31T00:00:00Z,SBUX,6,79,-0.067956128
2001-09-28T00:00:00Z,YUM,5,79,-0.082520687
2001-10-31T00:00:00Z,GILD,6,79,0.117597394
2001-11-30T00:00:00Z,YUM,6,79,-0.063774882
2018-01-31T00:00:00Z,F,42,79,-0.100683378
2018-02-28T00:00:00Z,HAL,40,79,-0.136669305
2018-03-30T00:00:00Z,EBAY,40,79,-0.062330135
2018-04-30T00:00:00Z,EXC,38,79,0.015774991
2018-05-31T00:00:00Z,EXC,39,79,0.050616667
2018-06-29T00:00:00Z,BAX,39,79,0.040948045
2018-07-31T00:00:00Z,HAL,37,79,-0.060184192
2018-08-31T00:00:00Z,HAL,35,79,-0.061245681
2018-09-28T00:00:00Z,HAL,35,79,0.01917702
2018-10-31T00:00:00Z,EBAY,27,79,-0.122737584
2018-11-30T00:00:00Z,HAL,27,79,-0.095513433
2018-12-31T00:00:00Z,HAL,23,79,-0.151101911
2019-01-31T00:00:00Z,APC,23,79,0.077510134
2019-02-28T00:00:00Z,APC,21,79,-0.082720221
2019-03-29T00:00:00Z,APC,22,79,0.050769505
2019-04-30T00:00:00Z,HAL,24,79,-0.035207136
2019-05-31T00:00:00Z,HAL,18,79,-0.250600271
2019-06-28T00:00:00Z,HAL,19,79,0.075069029
2019-07-31T00:00:00Z,HAL,20,79,0.009527277
2019-08-30T00:00:00Z,FCX,13,79,-0.170709715
2019-09-30T00:00:00Z,FCX,13,79,0.039593004
2019-10-31T00:00:00Z,FCX,14,79,0.029960839
